Time (s),Acceleration_mm_s2,Velocity_mm_s,Displacement_mm
5.55,6053.307643850861,23.021941092839086,173.7664572722497
5.5600000000000005,2966.426580450865,68.12061221434772,174.22217003878563
5.57,1084.1810997431476,88.37365061531779,175.00464135293396
5.58,630.2665930616083,96.94588907934157,175.93123905140726
5.59,1030.7524795366703,105.25098444233296,176.94222341901565
5.6000000000000005,1424.9269301274055,117.52938149065335,178.0561252486806
5.61,1222.1860894980175,130.76494658878048,179.29759688907777
5.62,444.6328590104061,139.09904133132258,180.6469168286783
5.63,-473.0297860703736,138.95705669602273,182.037197318815
5.64,-990.1003145673236,131.64140619283424,183.3901896332593
5.65,-864.7099546349336,122.36735484682295,184.6602334384576
5.66,-312.6534149077123,116.48053799910971,185.85447290268726
5.67,240.38977196046545,116.11921978437348,187.01747169160467
5.68,402.217392864308,119.33225560849735,188.19472906856902
5.69,149.48883071119525,122.09078672637486,189.40184428024338
5.7,-255.14934037739997,121.56248417804383,190.62011063476547
5.71,-448.31461525046126,118.04516439990452,191.8181488776552
5.72,-219.28448531634996,114.70716889707046,192.98191054414008
5.73,284.8408445026815,115.03495069300212,194.13062114209043
5.74,750.215153707579,120.21023068405341,195.3068470489757
5.75,837.1933474658846,128.14727318992072,196.54863456834556
5.76,495.8513980559025,134.81249691752967,197.8634334188828
5.7700000000000005,-48.94563731923593,137.047025721213,199.22273103207652
5.78,-475.3698489348748,134.42544828994244,200.5800934021323
5.79,-585.1471672693634,129.12286320892125,201.8978349596266
5.8,-411.1902480929536,124.14117613210966,203.16415515633176
5.8100000000000005,-257.62541641041264,120.79709780959283,204.38884652604028
5.82,-387.5080413788269,117.57143052064663,205.58068916769147
5.83,-839.4573958965966,111.4366033342695,206.72572933696605
5.84,-1410.8901523724064,100.1848655929245,207.78383668160203
5.8500000000000005,-1740.2373130364865,84.42922826588003,208.70690715089606
5.86,-1609.5861933336903,67.68011073402914,209.4674538458956
5.87,-1072.9044193982684,54.267657670369346,210.07719268791757
5.88,-453.9081155657229,46.63359499554939,210.58169895124718
5.89,-100.81530009774,43.85997791723207,211.0341668158111
5.9,-157.97127106174833,42.56604506143463,211.46629693070443
5.91,-438.4880624090015,39.58374839408088,211.87704589798201
5.92,-597.4723287887911,34.403946438091914,212.2469843721429
5.93,-343.4006302386271,29.699581642954826,212.56750201254812
5.94,260.3017337026344,29.28408716027486,212.86242035656426
5.95,869.7531049320625,34.934361353448345,213.18351259913288
5.96,1032.72066361722,44.44673019619476,213.5804180568811
5.97,585.7794151888584,52.539230590225145,214.06534786081318
5.98,-253.3547702933446,54.20135381470271,214.59905078283782
5.99,-933.5381390339268,48.26688926806636,215.11139199825166
6.0,-1007.1075069782884,38.56366103800528,215.545544749782
6.01,-484.9189513681848,31.103528746272914,215.8938806987034
6.0200000000000005,36.88867208662239,28.863377349865104,216.1937152291841
6.03,-304.62048145941407,27.524718303001144,216.47565570744842
6.04,-2093.639825364028,15.533416768883933,216.69094638280785
6.05,-5146.726674589991,-20.66841573088616,216.66527138799785
6.0600000000000005,-8334.431619023238,-88.07420719895231,216.12155827334865
6.07,-10100.265042543888,-180.24769050678793,214.77994878481996
6.08,-9166.34429050462,-276.58073717203047,212.49580664642588
6.09,-5319.4736567388645,-349.0098269082479,209.3678538260245
6.1000000000000005,419.4737259685281,-373.50982656209953,205.75525555867276
6.11,6163.711051613962,-340.59390267418706,202.18473691249133
6.12,10034.248933101317,-259.60410275061065,199.18374688536736
6.13,10997.665242881993,-154.4445318706941,197.11350371226084
6.140000000000001,9247.17831755032,-53.220314068532545,196.0751794825647
6.15,6052.845196334988,23.279803500894005,195.9254769297265
6.16,2966.590396670585,68.37698146592187,196.3837608545606
6.17,1084.723167967065,88.63354928911012,197.16881350833575
6.18,634.7265378274163,97.23079781808252,198.0981352438717
6.19,1036.7075282350625,105.58796814839492,199.11222907370407
6.2,1423.426823363479,117.88863990638762,200.229612113978
6.21,1233.09472011845,131.17124762379726,201.4749115516289
6.22,447.7156715286464,139.57529958203273,202.82864428765805
6.23,-470.04337077857497,139.4636610857831,204.22383909099713
6.24,-988.1844898137654,132.17252178282138,205.58202000534015
6.25,-861.0150742162126,122.92652396267148,206.85751523406762
6.26,-314.2752315396573,117.05007243389213,208.05739821605044
6.2700000000000005,235.9347202707772,116.65836987754773,209.22594042760764
6.28,403.0394452973161,119.85324070538819,210.40849848052233
6.29,146.15417766321048,122.59920882019082,211.62076072815023
6.3,-261.006115604442,122.02494913048467,212.8438815179036
6.3100000000000005,-450.3010174403091,118.46841346526091,214.04634833088235
6.32,-216.8507353790175,115.13265470116427,215.2143536717145
6.33,286.54403757132707,115.48112121212581,216.36742255128095
6.34,744.5895511820231,120.63678915589256,217.54801210312104
6.3500000000000005,830.0355527119798,128.50991467536258,218.79374562227733
6.36,496.13438360786427,135.1407643569618,220.11199901743896
6.37,-53.18999008775038,137.35548632456238,221.47448027084658
6.38,-481.9495598621862,134.6797885748127,222.83465664534347
6.390000000000001,-588.6253863166505,129.32691384391853,224.15469015743713
6.4,-417.0348464005205,124.29861268033268,225.4228177900584
6.41,-255.4973332543676,120.93595178205824,226.64899061237034
6.42,-385.9221918458748,117.72885415655703,227.84231464206343
6.43,-841.3020060471065,111.59273316709212,228.98892257868167
6.44,-1409.9688788975604,100.33637874236878,230.04856813822897
6.45,-1742.3741628279151,84.5746635337414,230.97312334960952
6.46,-1616.3349417868765,67.78111801066744,231.73490225733156
6.47,-1077.6974320424447,54.31095614152083,232.3453626280925
6.48,-456.14941204310935,46.641721921093065,232.85012601840555
6.49,-98.37559806159084,43.869096870569564,233.30268011236387
6.5,-159.54560055486743,42.579490877487274,233.73492305110415
6.51,-437.5985661304262,39.593770044060804,234.14578935571188
6.5200000000000005,-589.1591940852993,34.459981242982174,234.5160581121471
6.53,-352.5651848487861,29.751359348311745,234.83711481510358
6.54,264.2686088543828,29.309876468339727,235.13242099418684
6.55,872.5500592962528,34.9939698090929,235.453940225574
6.5600000000000005,1041.5085018616996,44.564262614882665,235.8517313876939
6.57,586.7804286945931,52.705707267664124,236.33808123710662
6.58,-248.9055817289559,54.39508150249231,236.8735851809574
6.59,-932.7044190508586,48.48703149859324,237.38799574596283
6.6000000000000005,-1004.9457584573942,38.798780611051974,237.82442480651105
6.61,-486.4349995213194,31.341876821158408,238.1751280936721
6.62,44.09932292177243,29.130198438160672,238.4774884699687
6.63,-304.00831204087257,27.830653492565173,238.76229272962235
6.640000000000001,-2094.1925646272944,15.839649109224338,238.98064424263129
6.65,-5151.051536997885,-20.38657139890156,238.9579096311829
6.66,-8333.82364821432,-87.81094732496257,238.41692203756358
6.67,-10099.878918208744,-179.97946015707788,237.07797000015339
6.68,-9166.820950050458,-276.3129594983739,234.79650790187614
6.69,-5321.54571756917,-348.75479283647206,231.6711691402019
6.7,416.0088645327848,-373.28247710165397,228.06098279051128
6.71,6163.644450132055,-340.3842105283298,224.49264935236135
6.72,10037.297818093344,-259.3794991872028,221.49383080378368
6.73,11000.000000000002,-154.19301009673603,219.425968257364
6.74,9256.084556416325,-52.9125873146544,218.39044027030704
6.75,6058.885896557979,23.66226495021712,218.24418865848486
6.76,2964.460561182853,68.77899723892128,218.70639496943056
6.7700000000000005,1084.560426273414,89.02410217620262,219.49541046650617
6.78,634.740300128557,97.62060580821247,220.42863400642824
6.79,1033.0268799136538,105.95944170842353,221.44653424401142
6.8,1422.2886216900922,118.23601921644226,222.56751154863574
6.8100000000000005,1236.9150779053818,131.53203771441963,223.81635183329004
6.82,447.42370739126847,139.95373164090287,225.17378068006664
6.83,-470.4078594397277,139.8388108806606,226.57274339267445
6.84,-984.9577726883492,132.5619827200202,227.93474736067785
6.8500000000000005,-865.7466063063856,123.30846082504654,229.2140995784032
6.86,-312.43181169480044,117.4175687350406,230.41772972620362
6.87,230.60590482692265,117.00843920070122,231.58985976588232
6.88,401.1781794127249,120.16735962189945,232.77573875999533
6.890000000000001,144.2453611902091,122.89447732491412,233.99104794472942
6.9,-256.9605476383094,122.33090139267362,235.21717483831736
6.91,-446.7974510029873,118.81211139946714,236.42288990227806
6.92,-225.68022085453447,115.44972304017953,237.59419907447628
6.93,295.2502657645027,115.79757326472938,238.7504355560008
6.94,740.1867868221759,120.97475852766277,239.93429721496278
6.95,839.9991336846634,128.87568813019698,241.18354944825208
6.96,494.2156599831296,135.54676209853594,242.50566169939574
6.97,-52.54911941988609,137.75509480135216,243.8721709838952
6.98,-483.95043219559153,135.07259704327478,245.23630944311833
6.99,-586.5468285609112,129.72011073949227,246.56027298203216
7.0,-418.2384637469418,124.69618427795301,247.83235445711938
7.01,-257.5364195746388,121.31730986134511,249.06242192781588
7.0200000000000005,-384.04643514768384,118.1093955877335,250.25955545506127
7.03,-842.1094784524927,111.97861601973261,251.4099955130986
7.04,-1412.993255336236,100.70310235078897,252.47340410495121
7.05,-1737.605261490998,84.9501097666528,253.40167016553843
7.0600000000000005,-1605.5504206306096,68.23433135604476,254.16759237115193
7.07,-1073.4298134433482,54.83943018567497,254.78296117886052
7.08,-454.9716925479597,47.197422655718434,255.2931454430675
7.09,-100.06118371553904,44.42225827440094,255.7512438477181
7.1000000000000005,-157.80506554304827,43.132927028108,256.18901977423064
7.11,-440.054001736993,40.143631691707796,256.60540256782974
7.12,-598.6692785811344,34.95001529011716,256.9808708027389
7.13,-346.80491434041244,30.22264432550942,257.30673410081704
7.140000000000001,261.23905369934414,29.79481502230408,257.60682139755613
7.15,876.297486987213,35.48249772573686,257.9332079612963
7.16,1037.3228362015473,45.050599341680666,258.3358734466334
7.17,581.9007919967066,53.14671748267193,258.82686003075514
7.18,-257.0452910417987,54.77099498744647,259.36644859310576
7.19,-932.8419020281522,48.821559022096714,259.88441136315345
7.2,-1011.4232405885556,39.10023330901318,260.324020324809
7.21,-482.78274977655474,31.629203357187627,260.67766750814
7.22,46.27085171639657,29.446643866886838,260.9830467442604
7.23,-296.00560966768086,28.197970077130417,261.27126981398044
7.24,-2100.6567904304748,16.214658076639637,261.4933329547493
7.25,-5147.037911691122,-20.023815433968345,261.47428716796264
7.26,-8338.579023125023,-87.45190010804907,260.93690859025253
7.27,-10099.800973289204,-179.6438000901202,259.60143008926167
7.28,-9169.60031451323,-275.9908065291324,257.3232570561654
7.29,-5326.044541232862,-348.46903080786285,254.20095786948042
7.3,412.7186363118795,-373.0356603324678,250.59343441377877
7.31,6164.014700267151,-340.15199364957266,247.02749614386858
7.32,10037.990844133778,-259.141965927568,244.03102634598287
7.33,10999.693570123412,-153.953543856282,241.9655487970636
7.34,9255.707141075596,-52.67654030028697,240.93239837628076
